teams,iijmali altasdidat," altasdidat alhadaf """,altasdidat out,"alfuras alkhatira """,Corner,eradiat,tsll,rkulat hra,tmrirat,tamrirat mktml,attack,mkhalafat,almarmaa ynqdh,aiftikak kura,shots blocked
Qadisiah,0.285,0.615,0.285,0.142,0.307,0.25,0.545,0.344,0.344,0.33,0.5,0.454,0.666,0.44,0
Hilal,0.714,0.384,0.857,0.692,0.75,0.454,0.655,0.669,0.344,0.545,0.545,0.545,0.33,0.55,1
